backing_thickness_mm,case_name,conductive_thickness_mm,element_count,log_file,material_case,maximum_time_step,maximum_trial_negative_jacobians,mesh_level,metadata_file,model_file,movement,negative_jacobian_trial_messages,node_count,normal_termination,raw_log_status,sensor_length_mm,sensor_width_mm,summary_file,taper_length_mm,time_steps
,contact_sensitivity_garment_E_extended_low_reference,,,,garment case,,455,garment surface,model/contact_sensitivity_garment_E_extended_low_reference_metadata.json,model/contact_sensitivity_garment_E_extended_low_reference.feb,,22,,False,retained by authors; available on reasonable request,,,,,
,contact_sensitivity_garment_E_extended_midlow_movement025,,,,garment case,,0,garment surface,model/contact_sensitivity_garment_E_extended_midlow_movement025_metadata.json,model/contact_sensitivity_garment_E_extended_midlow_movement025.feb,both_arms_raise,0,,False,not generated,,,,,
,contact_sensitivity_garment_E_extended_midlow_reference,,,,garment case,,543,garment surface,model/contact_sensitivity_garment_E_extended_midlow_reference_metadata.json,model/contact_sensitivity_garment_E_extended_midlow_reference.feb,,18,,False,retained by authors; available on reasonable request,,,,,
,contact_sensitivity_garment_E_high_movement025,,,,garment case,,0,garment surface,model/contact_sensitivity_garment_E_high_movement025_metadata.json,model/contact_sensitivity_garment_E_high_movement025.feb,both_arms_raise,0,,True,retained by authors; available on reasonable request,,,results/contact_sensitivity_garment_E_high_movement025_movement_summary.json,,
,contact_sensitivity_garment_E_high_reference,,,,garment case,,0,garment surface,model/contact_sensitivity_garment_E_high_reference_metadata.json,model/contact_sensitivity_garment_E_high_reference.feb,,0,,True,retained by authors; available on reasonable request,,,results/contact_sensitivity_garment_E_high_reference_movement_summary.json,,
,contact_sensitivity_garment_E_low_movement025,,,,garment case,,0,garment surface,model/contact_sensitivity_garment_E_low_movement025_metadata.json,model/contact_sensitivity_garment_E_low_movement025.feb,both_arms_raise,0,,True,retained by authors; available on reasonable request,,,results/contact_sensitivity_garment_E_low_movement025_movement_summary.json,,
,contact_sensitivity_garment_E_low_reference,,,,garment case,,67,garment surface,model/contact_sensitivity_garment_E_low_reference_metadata.json,model/contact_sensitivity_garment_E_low_reference.feb,,6,,True,retained by authors; available on reasonable request,,,results/contact_sensitivity_garment_E_low_reference_movement_summary.json,,
,contact_sensitivity_penalty_high_movement025,,,,garment case,,0,garment surface,model/contact_sensitivity_penalty_high_movement025_metadata.json,model/contact_sensitivity_penalty_high_movement025.feb,both_arms_raise,0,,False,not generated,,,,,
,contact_sensitivity_penalty_high_reference,,,,garment case,,540,garment surface,model/contact_sensitivity_penalty_high_reference_metadata.json,model/contact_sensitivity_penalty_high_reference.feb,,22,,False,retained by authors; available on reasonable request,,,,,
,contact_sensitivity_penalty_low_movement025,,,,garment case,,0,garment surface,model/contact_sensitivity_penalty_low_movement025_metadata.json,model/contact_sensitivity_penalty_low_movement025.feb,both_arms_raise,0,,True,retained by authors; available on reasonable request,,,results/contact_sensitivity_penalty_low_movement025_movement_summary.json,,
,contact_sensitivity_penalty_low_reference,,,,garment case,,419,garment surface,model/contact_sensitivity_penalty_low_reference_metadata.json,model/contact_sensitivity_penalty_low_reference.feb,,2,,True,retained by authors; available on reasonable request,,,results/contact_sensitivity_penalty_low_reference_movement_summary.json,,
,contact_sensitivity_torso_radii_high_movement025,,,,garment case,,0,garment surface,model/contact_sensitivity_torso_radii_high_movement025_metadata.json,model/contact_sensitivity_torso_radii_high_movement025.feb,both_arms_raise,0,,True,retained by authors; available on reasonable request,,,results/contact_sensitivity_torso_radii_high_movement025_movement_summary.json,,
,contact_sensitivity_torso_radii_high_reference,,,,garment case,,704,garment surface,model/contact_sensitivity_torso_radii_high_reference_metadata.json,model/contact_sensitivity_torso_radii_high_reference.feb,,17,,True,retained by authors; available on reasonable request,,,results/contact_sensitivity_torso_radii_high_reference_movement_summary.json,,
,contact_sensitivity_torso_radii_low_movement025,,,,garment case,,0,garment surface,model/contact_sensitivity_torso_radii_low_movement025_metadata.json,model/contact_sensitivity_torso_radii_low_movement025.feb,both_arms_raise,0,,True,retained by authors; available on reasonable request,,,results/contact_sensitivity_torso_radii_low_movement025_movement_summary.json,,
,contact_sensitivity_torso_radii_low_reference,,,,garment case,,179,garment surface,model/contact_sensitivity_torso_radii_low_reference_metadata.json,model/contact_sensitivity_torso_radii_low_reference.feb,,10,,True,retained by authors; available on reasonable request,,,results/contact_sensitivity_torso_radii_low_reference_movement_summary.json,,
,coupon_mesh_coarse,,264,,garment case,,0,coarse,model/coupon_mesh_coarse_metadata.json,model/coupon_mesh_coarse.feb,,0,462,True,retained by authors; available on reasonable request,80.0,,results/coupon_mesh_coarse_summary.json,,
,coupon_mesh_extra_fine,,61440,,provisional,,362,extra_fine,model/coupon_mesh_extra_fine_metadata.json,model/coupon_mesh_extra_fine.feb,,3,69745,False,retained by authors; available on reasonable request,80.0,,,,
,coupon_mesh_fine,,11520,,garment case,,0,fine,model/coupon_mesh_fine_metadata.json,model/coupon_mesh_fine.feb,,0,13893,True,retained by authors; available on reasonable request,80.0,,results/coupon_mesh_fine_summary.json,,
,coupon_mesh_medium,,1920,,garment case,,0,medium,model/coupon_mesh_medium_metadata.json,model/coupon_mesh_medium.feb,,0,2601,True,retained by authors; available on reasonable request,80.0,,results/coupon_mesh_medium_summary.json,,
,coupon_test,,1920,,garment case,,0,medium,model/coupon_test_metadata.json,model/coupon_test.feb,,0,2601,False,not generated,80.0,,,,
0.4,fullfield_angle_minus_60_local_medium,0.6,7632,,literature_nominal,,0,local_medium,model/fullfield_angle_minus_60_local_medium_metadata.json,model/fullfield_angle_minus_60_local_medium.feb,,0,9305,True,retained by authors; available on reasonable request,80.0,15.0,results/fullfield_angle_minus_60_local_medium_summary.json,5.0,
0.4,fullfield_angle_plus_0_local_medium,0.6,7632,,literature_nominal,,0,local_medium,model/fullfield_angle_plus_0_local_medium_metadata.json,model/fullfield_angle_plus_0_local_medium.feb,,0,9305,True,retained by authors; available on reasonable request,80.0,15.0,results/fullfield_angle_plus_0_local_medium_summary.json,5.0,
0.4,fullfield_angle_plus_60_local_medium,0.6,7632,,literature_nominal,,0,local_medium,model/fullfield_angle_plus_60_local_medium_metadata.json,model/fullfield_angle_plus_60_local_medium.feb,,0,9305,True,retained by authors; available on reasonable request,80.0,15.0,results/fullfield_angle_plus_60_local_medium_summary.json,5.0,
,garment_both_arms_raise_025_aug,,,,garment case,,0,garment surface,model/garment_both_arms_raise_025_aug_metadata.json,model/garment_both_arms_raise_025_aug.feb,both_arms_raise,0,,True,retained by authors; available on reasonable request,,,results/garment_both_arms_raise_025_aug_movement_summary.json,,
,garment_both_arms_raise_025_extended,,,,garment case,,0,garment surface,model/garment_both_arms_raise_025_extended_metadata.json,model/garment_both_arms_raise_025_extended.feb,both_arms_raise,0,,True,retained by authors; available on reasonable request,,,results/garment_both_arms_raise_025_extended_movement_summary.json,,
,garment_both_arms_raise_025,,,results/garment_both_arms_raise_025.log,garment case,,0,garment surface,model/garment_both_arms_raise_025_metadata.json,model/garment_both_arms_raise_025.feb,both_arms_raise,0,,True,included,,,results/garment_both_arms_raise_025_movement_summary.json,,
,garment_both_arms_raise_025_p001,,,,garment case,,200,garment surface,model/garment_both_arms_raise_025_p001_metadata.json,model/garment_both_arms_raise_025_p001.feb,both_arms_raise,10,,False,retained by authors; available on reasonable request,,,,,
,garment_both_arms_raise_050,,,,garment case,,0,garment surface,model/garment_both_arms_raise_050_metadata.json,model/garment_both_arms_raise_050.feb,both_arms_raise,0,,True,retained by authors; available on reasonable request,,,results/garment_both_arms_raise_050_movement_summary.json,,
,garment_both_arms_raise_100,,,,garment case,,2,garment surface,model/garment_both_arms_raise_100_metadata.json,model/garment_both_arms_raise_100.feb,both_arms_raise,1,,True,retained by authors; available on reasonable request,,,results/garment_both_arms_raise_100_movement_summary.json,,
,garment_contact_equilibrium,,,,garment case,,52,garment surface,model/garment_contact_equilibrium_metadata.json,model/garment_contact_equilibrium.feb,,1,,True,retained by authors; available on reasonable request,,,results/garment_contact_equilibrium_summary.json,,
,garment_fit_0025bp,,,,garment case,,52,garment surface,model/garment_fit_0025bp_metadata.json,model/garment_fit_0025bp.feb,,1,,True,retained by authors; available on reasonable request,,,results/garment_fit_0025bp_summary.json,,
