angle_deg,strain_state,exx,eyy,gamma_xy,projected_textile_strain,screening_transfer_ratio,predicted_mean_gauge_strain,finite_directional_engineering_strain,predicted_endpoint_strain_finite_directional
45,negative_shear,0.08,0.04,-0.2,-0.04,0.032984678440592795,-0.001319387137623712,-0.040833695337456066,-0.0013468863102471217
45,biaxial_extension,0.18,0.12,0.0,0.15,0.032984678440592795,0.004947701766088919,0.14017542509913805,0.004623641322168469
60,horizontal_extension,0.3,-0.09,0.0,0.007500000000000034,0.032984678440592795,0.0002473850883044471,0.00747208398049426,0.0002464642873777078
60,vertical_extension,-0.09,0.3,0.0,0.20249999999999993,0.032984678440592795,0.006679397384220039,0.1853269591129698,0.006112950152714198
60,positive_shear,0.08,0.04,0.2,0.13660254037844388,0.032984678440592795,0.004505790868551064,0.12836389553941663,0.004234041817749501
60,negative_shear,0.08,0.04,-0.2,-0.03660254037844389,0.032984678440592795,-0.0012073230244917855,-0.037298115072421756,-0.0012302663321040591
60,biaxial_extension,0.18,0.12,0.0,0.135,0.032984678440592795,0.0044529315894800275,0.1269427669584644,0.004187166348484056
75,horizontal_extension,0.3,-0.09,0.0,-0.06387495373796555,0.032984678440592795,-0.0021068948094545344,-0.06605669737180031,-0.0021788589216563846
75,vertical_extension,-0.09,0.3,0.0,0.27387495373796555,0.032984678440592795,0.009033677281979022,0.24408597270282373,0.008051097321461951
75,positive_shear,0.08,0.04,0.2,0.09267949192431123,0.032984678440592795,0.0030570032391609224,0.08874192711065487,0.002927123929943475
75,negative_shear,0.08,0.04,-0.2,-0.007320508075688764,0.032984678440592795,-0.00024146460489835663,-0.007347500960873776,-0.0002423549565363681
75,biaxial_extension,0.18,0.12,0.0,0.12401923788646685,0.032984678440592795,0.004090734682132492,0.11715642403959414,0.0038643669741957485
90,horizontal_extension,0.3,-0.09,0.0,-0.09,0.032984678440592795,-0.0029686210596533515,-0.09446148618625827,-0.003115781746874227
90,vertical_extension,-0.09,0.3,0.0,0.3,0.032984678440592795,0.009895403532177839,0.26491106406735176,0.008738006263616874
90,positive_shear,0.08,0.04,0.2,0.040000000000000015,0.032984678440592795,0.0013193871376237123,0.039230484541326494,0.001294004917664301
90,negative_shear,0.08,0.04,-0.2,0.03999999999999999,0.032984678440592795,0.0013193871376237115,0.039230484541326494,0.001294004917664301
90,biaxial_extension,0.18,0.12,0.0,0.12,0.032984678440592795,0.003958161412871135,0.11355287256600444,0.0037455049875952675
