variant,sensor,penalty_scale,garment_E_MPa,initial_clearance_mm,final_nominal_interference_mm,maximum_augmentations,torso_rx_mm,torso_ry_mm,movement_induced_strain_percent,contact_free_scaled_strain_percent,sign_reversal_vs_contact_free,movement_active_contact_fraction,reference_normal_termination,movement_normal_termination
penalty_low,10,0.0005,0.8,0.5,0.09999999999999998,5,188.0,165.0,0.1320580430375258,0.567107036841474,False,0.7163461538461539,True,True
garment_E_low,1,0.001,0.4,0.5,0.09999999999999998,5,188.0,165.0,-0.24013336235918378,0.28809052677694125,True,0.7043269230769231,True,True
garment_E_low,2,0.001,0.4,0.5,0.09999999999999998,5,188.0,165.0,-0.24011908350980493,0.28809052677694114,True,0.7043269230769231,True,True
garment_E_low,3,0.001,0.4,0.5,0.09999999999999998,5,188.0,165.0,-0.5771619800472194,1.2539999999896034,True,0.7043269230769231,True,True
garment_E_low,4,0.001,0.4,0.5,0.09999999999999998,5,188.0,165.0,0.15262873867992743,0.33125000000000004,False,0.7043269230769231,True,True
garment_E_low,5,0.001,0.4,0.5,0.09999999999999998,5,188.0,165.0,-0.03883627817205118,0.3311690686408836,True,0.7043269230769231,True,True
garment_E_low,6,0.001,0.4,0.5,0.09999999999999998,5,188.0,165.0,-0.020457073530826885,0.4948026870717748,True,0.7043269230769231,True,True
garment_E_low,7,0.001,0.4,0.5,0.09999999999999998,5,188.0,165.0,-0.014651335690663014,0.3135000000006535,True,0.7043269230769231,True,True
garment_E_low,8,0.001,0.4,0.5,0.09999999999999998,5,188.0,165.0,-0.5771667945620729,1.2539999999896034,True,0.7043269230769231,True,True
garment_E_low,9,0.001,0.4,0.5,0.09999999999999998,5,188.0,165.0,0.13176125294048951,0.5671070368414741,False,0.7043269230769231,True,True
garment_E_low,10,0.001,0.4,0.5,0.09999999999999998,5,188.0,165.0,0.1317591965687454,0.567107036841474,False,0.7043269230769231,True,True
garment_E_high,1,0.001,1.6,0.5,0.09999999999999998,5,188.0,165.0,-0.2398469738652949,0.28809052677694125,True,0.7139423076923077,True,True
garment_E_high,2,0.001,1.6,0.5,0.09999999999999998,5,188.0,165.0,-0.23984704879554944,0.28809052677694114,True,0.7139423076923077,True,True
garment_E_high,3,0.001,1.6,0.5,0.09999999999999998,5,188.0,165.0,-0.5774000376120525,1.2539999999896034,True,0.7139423076923077,True,True
garment_E_high,4,0.001,1.6,0.5,0.09999999999999998,5,188.0,165.0,0.15300519280457836,0.33125000000000004,False,0.7139423076923077,True,True
garment_E_high,5,0.001,1.6,0.5,0.09999999999999998,5,188.0,165.0,-0.03885250271081593,0.3311690686408836,True,0.7139423076923077,True,True
garment_E_high,6,0.001,1.6,0.5,0.09999999999999998,5,188.0,165.0,-0.02044665278614432,0.4948026870717748,True,0.7139423076923077,True,True
garment_E_high,7,0.001,1.6,0.5,0.09999999999999998,5,188.0,165.0,-0.014653146848236931,0.3135000000006535,True,0.7139423076923077,True,True
garment_E_high,8,0.001,1.6,0.5,0.09999999999999998,5,188.0,165.0,-0.5774001688867436,1.2539999999896034,True,0.7139423076923077,True,True
garment_E_high,9,0.001,1.6,0.5,0.09999999999999998,5,188.0,165.0,0.13204821869390213,0.5671070368414741,False,0.7139423076923077,True,True
garment_E_high,10,0.001,1.6,0.5,0.09999999999999998,5,188.0,165.0,0.1320482409372752,0.567107036841474,False,0.7139423076923077,True,True
garment_E_extended_high,1,0.001,5.0,0.5,0.09999999999999998,5,188.0,165.0,-0.23848656019876996,0.28809052677694125,True,0.7283653846153846,True,True
garment_E_extended_high,2,0.001,5.0,0.5,0.09999999999999998,5,188.0,165.0,-0.2384865483180501,0.28809052677694114,True,0.7283653846153846,True,True
garment_E_extended_high,3,0.001,5.0,0.5,0.09999999999999998,5,188.0,165.0,-0.5778741479671667,1.2539999999896034,True,0.7283653846153846,True,True
garment_E_extended_high,4,0.001,5.0,0.5,0.09999999999999998,5,188.0,165.0,0.15408801329384048,0.33125000000000004,False,0.7283653846153846,True,True
garment_E_extended_high,5,0.001,5.0,0.5,0.09999999999999998,5,188.0,165.0,-0.0388085318831717,0.3311690686408836,True,0.7283653846153846,True,True
garment_E_extended_high,6,0.001,5.0,0.5,0.09999999999999998,5,188.0,165.0,-0.020469965834210273,0.4948026870717748,True,0.7283653846153846,True,True
garment_E_extended_high,7,0.001,5.0,0.5,0.09999999999999998,5,188.0,165.0,-0.014861929836446075,0.3135000000006535,True,0.7283653846153846,True,True
garment_E_extended_high,8,0.001,5.0,0.5,0.09999999999999998,5,188.0,165.0,-0.5778746381404187,1.2539999999896034,True,0.7283653846153846,True,True
garment_E_extended_high,9,0.001,5.0,0.5,0.09999999999999998,5,188.0,165.0,0.13289537354194195,0.5671070368414741,False,0.7283653846153846,True,True
garment_E_extended_high,10,0.001,5.0,0.5,0.09999999999999998,5,188.0,165.0,0.13289548962813574,0.567107036841474,False,0.7283653846153846,True,True
clearance_low,1,0.001,0.8,0.4,0.19999999999999996,5,188.0,165.0,-0.2711275213079578,0.28809052677694125,True,0.8052884615384616,True,True
clearance_low,2,0.001,0.8,0.4,0.19999999999999996,5,188.0,165.0,-0.27112768988617736,0.28809052677694114,True,0.8052884615384616,True,True
clearance_low,3,0.001,0.8,0.4,0.19999999999999996,5,188.0,165.0,-0.5657750556451457,1.2539999999896034,True,0.8052884615384616,True,True
clearance_low,4,0.001,0.8,0.4,0.19999999999999996,5,188.0,165.0,0.13177394406170828,0.33125000000000004,False,0.8052884615384616,True,True
clearance_low,5,0.001,0.8,0.4,0.19999999999999996,5,188.0,165.0,-0.04043562271246991,0.3311690686408836,True,0.8052884615384616,True,True
clearance_low,6,0.001,0.8,0.4,0.19999999999999996,5,188.0,165.0,-0.022328720213496085,0.4948026870717748,True,0.8052884615384616,True,True
clearance_low,7,0.001,0.8,0.4,0.19999999999999996,5,188.0,165.0,-0.015640269252453765,0.3135000000006535,True,0.8052884615384616,True,True
clearance_low,8,0.001,0.8,0.4,0.19999999999999996,5,188.0,165.0,-0.5657750765917013,1.2539999999896034,True,0.8052884615384616,True,True
clearance_low,9,0.001,0.8,0.4,0.19999999999999996,5,188.0,165.0,0.10719124331069838,0.5671070368414741,False,0.8052884615384616,True,True
clearance_low,10,0.001,0.8,0.4,0.19999999999999996,5,188.0,165.0,0.1071915528525905,0.567107036841474,False,0.8052884615384616,True,True
augmentations_low,1,0.001,0.8,0.5,0.09999999999999998,3,188.0,165.0,-0.2401016514075612,0.28809052677694125,True,0.7067307692307693,True,True
augmentations_low,2,0.001,0.8,0.5,0.09999999999999998,3,188.0,165.0,-0.24010086272767175,0.28809052677694114,True,0.7067307692307693,True,True
augmentations_low,3,0.001,0.8,0.5,0.09999999999999998,3,188.0,165.0,-0.5771813740874598,1.2539999999896034,True,0.7067307692307693,True,True
augmentations_low,4,0.001,0.8,0.5,0.09999999999999998,3,188.0,165.0,0.15268825146093068,0.33125000000000004,False,0.7067307692307693,True,True
augmentations_low,5,0.001,0.8,0.5,0.09999999999999998,3,188.0,165.0,-0.038850818079799,0.3311690686408836,True,0.7067307692307693,True,True
augmentations_low,6,0.001,0.8,0.5,0.09999999999999998,3,188.0,165.0,-0.020462467348675652,0.4948026870717748,True,0.7067307692307693,True,True
augmentations_low,7,0.001,0.8,0.5,0.09999999999999998,3,188.0,165.0,-0.014640652239567009,0.3135000000006535,True,0.7067307692307693,True,True
augmentations_low,8,0.001,0.8,0.5,0.09999999999999998,3,188.0,165.0,-0.5771800576160446,1.2539999999896034,True,0.7067307692307693,True,True
augmentations_low,9,0.001,0.8,0.5,0.09999999999999998,3,188.0,165.0,0.13186938839453355,0.5671070368414741,False,0.7067307692307693,True,True
augmentations_low,10,0.001,0.8,0.5,0.09999999999999998,3,188.0,165.0,0.13187058066513835,0.567107036841474,False,0.7067307692307693,True,True
augmentations_high,1,0.001,0.8,0.5,0.09999999999999998,8,188.0,165.0,-0.24007986979544294,0.28809052677694125,True,0.7067307692307693,True,True
augmentations_high,2,0.001,0.8,0.5,0.09999999999999998,8,188.0,165.0,-0.24007602669715894,0.28809052677694114,True,0.7067307692307693,True,True
augmentations_high,3,0.001,0.8,0.5,0.09999999999999998,8,188.0,165.0,-0.5771926705951669,1.2539999999896034,True,0.7067307692307693,True,True
augmentations_high,4,0.001,0.8,0.5,0.09999999999999998,8,188.0,165.0,0.1527075464881733,0.33125000000000004,False,0.7067307692307693,True,True
augmentations_high,5,0.001,0.8,0.5,0.09999999999999998,8,188.0,165.0,-0.03885608589980374,0.3311690686408836,True,0.7067307692307693,True,True
augmentations_high,6,0.001,0.8,0.5,0.09999999999999998,8,188.0,165.0,-0.020464324180820104,0.4948026870717748,True,0.7067307692307693,True,True
augmentations_high,7,0.001,0.8,0.5,0.09999999999999998,8,188.0,165.0,-0.014641821825139845,0.3135000000006535,True,0.7067307692307693,True,True
augmentations_high,8,0.001,0.8,0.5,0.09999999999999998,8,188.0,165.0,-0.5771920040612721,1.2539999999896034,True,0.7067307692307693,True,True
augmentations_high,9,0.001,0.8,0.5,0.09999999999999998,8,188.0,165.0,0.13189091374342066,0.5671070368414741,False,0.7067307692307693,True,True
augmentations_high,10,0.001,0.8,0.5,0.09999999999999998,8,188.0,165.0,0.13189073411058982,0.567107036841474,False,0.7067307692307693,True,True
torso_radii_low,1,0.001,0.8,0.5,0.09999999999999998,5,183.0,160.0,-0.24205072415288859,0.28809052677694125,True,0.7139423076923077,True,True
torso_radii_low,2,0.001,0.8,0.5,0.09999999999999998,5,183.0,160.0,-0.24205063251803638,0.28809052677694114,True,0.7139423076923077,True,True
torso_radii_low,3,0.001,0.8,0.5,0.09999999999999998,5,183.0,160.0,-0.5754438666107642,1.2539999999896034,True,0.7139423076923077,True,True
torso_radii_low,4,0.001,0.8,0.5,0.09999999999999998,5,183.0,160.0,0.14621355297498306,0.33125000000000004,False,0.7139423076923077,True,True
torso_radii_low,5,0.001,0.8,0.5,0.09999999999999998,5,183.0,160.0,-0.034344897102190255,0.3311690686408836,True,0.7139423076923077,True,True
torso_radii_low,6,0.001,0.8,0.5,0.09999999999999998,5,183.0,160.0,-0.018008922017032428,0.4948026870717748,True,0.7139423076923077,True,True
torso_radii_low,7,0.001,0.8,0.5,0.09999999999999998,5,183.0,160.0,-0.012769585863031674,0.3135000000006535,True,0.7139423076923077,True,True
torso_radii_low,8,0.001,0.8,0.5,0.09999999999999998,5,183.0,160.0,-0.5754436620996617,1.2539999999896034,True,0.7139423076923077,True,True
torso_radii_low,9,0.001,0.8,0.5,0.09999999999999998,5,183.0,160.0,0.12476828106102131,0.5671070368414741,False,0.7139423076923077,True,True
torso_radii_low,10,0.001,0.8,0.5,0.09999999999999998,5,183.0,160.0,0.12476827202998163,0.567107036841474,False,0.7139423076923077,True,True
torso_radii_high,1,0.001,0.8,0.5,0.09999999999999998,5,193.0,170.0,-0.23801384355645414,0.28809052677694125,True,0.7007211538461539,True,True
torso_radii_high,2,0.001,0.8,0.5,0.09999999999999998,5,193.0,170.0,-0.23801201535569635,0.28809052677694114,True,0.7007211538461539,True,True
torso_radii_high,3,0.001,0.8,0.5,0.09999999999999998,5,193.0,170.0,-0.5780580801378887,1.2539999999896034,True,0.7007211538461539,True,True
torso_radii_high,4,0.001,0.8,0.5,0.09999999999999998,5,193.0,170.0,0.15857369902372298,0.33125000000000004,False,0.7007211538461539,True,True
torso_radii_high,5,0.001,0.8,0.5,0.09999999999999998,5,193.0,170.0,-0.04358532524664983,0.3311690686408836,True,0.7007211538461539,True,True
torso_radii_high,6,0.001,0.8,0.5,0.09999999999999998,5,193.0,170.0,-0.023088822170099773,0.4948026870717748,True,0.7007211538461539,True,True
torso_radii_high,7,0.001,0.8,0.5,0.09999999999999998,5,193.0,170.0,-0.016616920780376798,0.3135000000006535,True,0.7007211538461539,True,True
torso_radii_high,8,0.001,0.8,0.5,0.09999999999999998,5,193.0,170.0,-0.5780586574561764,1.2539999999896034,True,0.7007211538461539,True,True
torso_radii_high,9,0.001,0.8,0.5,0.09999999999999998,5,193.0,170.0,0.13844713872022113,0.5671070368414741,False,0.7007211538461539,True,True
torso_radii_high,10,0.001,0.8,0.5,0.09999999999999998,5,193.0,170.0,0.13845302131381285,0.567107036841474,False,0.7007211538461539,True,True
